District,Date,TAC
Uttar Dinajpur,28-02-2021,54
Dakshin Dinajpur,28-02-2021,6
Malda,28-02-2021,19
Murshidabad,28-02-2021,19
Nadia,28-02-2021,51
Birbhum,28-02-2021,57
Purulia,28-02-2021,64
Bankura,28-02-2021,62
Jhargram,28-02-2021,5
Paschim Medinipur,28-02-2021,46
Purba Medinipur,28-02-2021,77
Purba Bardhaman,28-02-2021,34
Paschim Bardhaman,28-02-2021,161
Howrah,28-02-2021,138
Hooghly,28-02-2021,79
North 24 Parganas,28-02-2021,954
South 24 Parganas,28-02-2021,176
Kolkata,28-02-2021,1184
Alipurduar,30-03-2021,14
Coochbehar,30-03-2021,21
Darjeeling,30-03-2021,84
Kalimpong,30-03-2021,10
Jalpaiguri,30-03-2021,36
Uttar Dinajpur,30-03-2021,83
Dakshin Dinajpur,30-03-2021,16
Malda,30-03-2021,76
Murshidabad,30-03-2021,71
Nadia,30-03-2021,71
Birbhum,30-03-2021,186
Purulia,30-03-2021,96
Bankura,30-03-2021,62
Jhargram,30-03-2021,3
Paschim Medinipur,30-03-2021,63
Purba Medinipur,30-03-2021,54
Purba Bardhaman,30-03-2021,49
Paschim Bardhaman,30-03-2021,276
Howrah,30-03-2021,413
Hooghly,30-03-2021,187
North 24 Parganas,30-03-2021,1106
South 24 Parganas,30-03-2021,232
Kolkata,30-03-2021,2094
Alipurduar,30-04-2021,371
Coochbehar,30-04-2021,887
Darjeeling,30-04-2021,2500
Kalimpong,30-04-2021,233
Jalpaiguri,30-04-2021,1414
Uttar Dinajpur,30-04-2021,1462
Dakshin Dinajpur,30-04-2021,669
Malda,30-04-2021,4175
Murshidabad,30-04-2021,3593
Nadia,30-04-2021,3920
Birbhum,30-04-2021,4950
Purulia,30-04-2021,3259
Bankura,30-04-2021,1322
Jhargram,30-04-2021,348
Paschim Medinipur,30-04-2021,1182
Purba Medinipur,30-04-2021,2932
Purba Bardhaman,30-04-2021,3256
Paschim Bardhaman,30-04-2021,6049
Howrah,30-04-2021,6112
Hooghly,30-04-2021,4955
North 24 Parganas,30-04-2021,20736
South 24 Parganas,30-04-2021,6776
Kolkata,30-04-2021,24709
Alipurduar,30-05-2021,1001
Coochbehar,30-05-2021,1931
Darjeeling,30-05-2021,4202
Kalimpong,30-05-2021,624
Jalpaiguri,30-05-2021,3880
Uttar Dinajpur,30-05-2021,1297
Dakshin Dinajpur,30-05-2021,1044
Malda,30-05-2021,1169
Murshidabad,30-05-2021,1533
Nadia,30-05-2021,5650
Birbhum,30-05-2021,582
Purulia,30-05-2021,649
Bankura,30-05-2021,2879
Jhargram,30-05-2021,1357
Paschim Medinipur,30-05-2021,3961
Purba Medinipur,30-05-2021,4024
Purba Bardhaman,30-05-2021,2480
Paschim Bardhaman,30-05-2021,4410
Howrah,30-05-2021,6971
Hooghly,30-05-2021,5323
North 24 Parganas,30-05-2021,19343
South 24 Parganas,30-05-2021,7266
Kolkata,30-05-2021,13322
Alipurduar,30-06-2021,354
Coochbehar,30-06-2021,1058
Darjeeling,30-06-2021,1811
Kalimpong,30-06-2021,219
Jalpaiguri,30-06-2021,1242
Uttar Dinajpur,30-06-2021,287
Dakshin Dinajpur,30-06-2021,230
Malda,30-06-2021,134
Murshidabad,30-06-2021,142
Nadia,30-06-2021,1048
Birbhum,30-06-2021,232
Purulia,30-06-2021,70
Bankura,30-06-2021,801
Jhargram,30-06-2021,485
Paschim Medinipur,30-06-2021,1495
Purba Medinipur,30-06-2021,1975
Purba Bardhaman,30-06-2021,570
Paschim Bardhaman,30-06-2021,534
Howrah,30-06-2021,1256
Hooghly,30-06-2021,1212
North 24 Parganas,30-06-2021,2464
South 24 Parganas,30-06-2021,1311
Kolkata,30-06-2021,1656
Alipurduar,30-06-2020,29
Coochbehar,30-06-2020,7
Darjeeling,30-06-2020,221
Kalimpong,30-06-2020,5
Jalpaiguri,30-06-2020,73
Uttar Dinajpur,30-06-2020,69
Dakshin Dinajpur,30-06-2020,72
Malda,30-06-2020,276
Murshidabad,30-06-2020,54
Nadia,30-06-2020,77
Birbhum,30-06-2020,26
Purulia,30-06-2020,3
Bankura,30-06-2020,44
Jhargram,30-06-2020,0
Paschim Medinipur,30-06-2020,51
Purba Medinipur,30-06-2020,93
Purba Bardhaman,30-06-2020,25
Paschim Bardhaman,30-06-2020,22
Howrah,30-06-2020,765
Hooghly,30-06-2020,289
North 24 Parganas,30-06-2020,1157
South 24 Parganas,30-06-2020,551
Kolkata,30-06-2020,1852
Alipurduar,30-05-2020,1001
Coochbehar,30-05-2020,1931
Darjeeling,30-05-2020,4202
Kalimpong,30-05-2020,624
Jalpaiguri,30-05-2020,3880
Uttar Dinajpur,30-05-2020,1297
Dakshin Dinajpur,30-05-2020,1044
Malda,30-05-2020,1169
Murshidabad,30-05-2020,1533
Nadia,30-05-2020,5660
